a,b,c,alpha,beta,gamma
6.3978934,7.8617916,7.754713,100.12584,114.192085,65.68166
5.1923223,6.692759,6.6899753,85.641426,81.64779,81.382996
5.0752773,5.1151085,7.924044,109.76943,78.26182,80.14996
5.919327,5.9129777,5.9049377,119.88881,89.716606,60.069046
5.25244,5.2595744,5.2616673,70.467804,60.401814,80.44671
4.266817,6.669582,8.266012,98.07179,89.28995,107.8447
5.893282,6.8103566,8.333347,107.92553,110.638756,89.940056
5.168738,5.094752,7.8296156,110.08358,102.97698,98.50346
5.46281,5.5276318,10.892589,91.75705,91.67764,118.34329
4.8071632,5.759621,8.400971,103.21941,90.00496,90.035835
3.0246346,12.547194,6.0251164,102.82076,89.97222,90.01686
5.504775,5.7303157,7.9862194,89.80295,89.89012,89.27278
5.193793,5.2362046,7.9875174,108.13991,89.292114,93.46978
5.237001,5.254547,7.253863,105.067566,108.90847,98.111916
5.402739,5.686336,7.610526,103.42623,106.50203,97.32936
5.53594,5.580624,7.362552,73.48855,72.06133,71.59998
5.564105,5.569965,7.2228208,104.08397,104.23013,105.66341
4.820589,5.7898293,7.9663925,86.412735,89.670044,88.71364
5.258204,5.378117,5.649431,89.83851,66.42014,89.7078
4.241457,4.2635307,7.679649,89.148506,89.597115,68.38104
5.480088,5.5646615,6.036589,90.15586,116.684235,91.791046
5.5384364,5.7999253,9.332137,107.43101,90.25807,64.587715
5.3751335,5.617439,8.44172,109.41056,108.54649,90.29095
3.982947,4.136958,9.214408,103.01971,90.02326,89.99567
7.512559,4.594554,5.9139686,93.73919,89.237236,89.29178
6.630959,6.63777,9.437664,77.85183,77.81578,61.41311
6.8867745,6.7666373,8.576438,74.15569,82.30195,60.707886
5.758041,5.8915033,7.0148697,100.44839,94.67159,106.52654
5.133697,5.4930286,7.4943676,95.49596,90.01665,90.10836
4.889133,5.5239425,8.149514,91.39413,93.525856,107.95166
5.874064,6.0326834,8.389434,90.13176,90.085625,90.06141
3.099302,6.620948,6.376321,61.409313,88.413994,113.52461
5.125761,5.380593,7.4680963,93.73765,90.073494,90.29188
5.9764075,5.976501,8.443598,90.22491,89.801094,89.79609
3.512775,8.8303175,9.1034565,104.053566,101.04142,90.2523
4.909249,5.610879,6.2504196,106.53278,87.18385,112.393
5.111877,5.1482224,7.814213,74.17476,74.873215,78.96813
7.354552,9.919434,7.791358,69.657684,76.52001,100.704865
6.605617,8.120346,12.407466,102.340004,93.425316,111.73382
6.0849276,6.221932,8.744038,90.489876,89.46254,89.85309
5.867935,6.008976,8.394801,90.09356,89.62854,90.01677
5.726483,5.7226377,9.707628,89.809456,89.71406,59.961792
5.529361,5.5764337,10.328572,75.46686,74.925674,60.66499
5.613328,5.6137605,5.6192455,60.43173,60.120533,60.249958
4.482205,4.999455,6.2356596,97.11235,68.988785,89.8957
3.86294,5.3197637,5.5488353,89.79358,86.537186,89.444916
5.170308,5.3903294,7.7694283,83.20306,109.09258,114.815994
4.892539,5.5602074,6.0890236,85.39406,111.613144,109.53713
3.052286,5.161781,6.5726814,105.1722,91.2797,93.300934
3.79989,3.9029765,19.090714,91.88877,90.385,117.49557
6.566065,6.6605496,6.691452,90.641045,90.29034,91.06092
6.3752384,8.670396,6.6373763,90.04295,61.200768,90.06653
6.04644,6.1042047,7.430152,113.16016,111.688896,89.40077
5.586398,5.629152,7.912972,90.1783,90.03815,90.27452
5.582956,5.5912433,7.3042,72.89204,72.08333,72.54314
5.229047,5.6491623,7.708653,109.09857,105.92805,94.84799
5.6537347,5.9037046,8.16793,90.54957,89.67399,90.08512
4.404268,4.4530783,17.8417,91.40573,95.01309,119.106384
5.11781,5.3496003,7.408883,86.70108,89.99569,89.97421
5.4836907,5.6388764,8.492376,110.53294,70.125175,92.86115
5.132664,5.3736663,7.3998737,86.50626,89.94115,89.984116
4.823846,7.118956,7.8484545,114.53854,86.44607,102.98889
4.965415,5.3289003,7.496265,83.283165,89.90515,89.27456
5.3066483,6.710338,6.705616,85.09008,77.2887,77.19529
4.11558,6.3726063,6.663677,92.26926,94.793434,95.331024
5.15323,5.244484,7.8399014,71.1348,71.88975,80.47309
5.441265,5.4481535,7.5591283,107.89254,107.79538,94.46916
5.221764,5.3614235,7.892587,105.694534,104.52692,101.6382
4.9717054,8.906261,5.4996796,106.9133,116.135826,90.200035
5.720363,5.766991,5.83805,91.96485,118.70171,118.40319
38.01661,22.299532,14.770931,12.268837,13.587207,9.062455
5.21172,5.365609,7.397216,106.77179,108.760345,97.87983
3.6960056,3.7108705,6.6993628,54.915894,57.12845,60.008003
4.180246,10.0500965,8.23644,67.024086,90.010544,89.98808
4.557733,5.4488325,7.5348244,86.291916,88.591934,87.89712
6.756325,8.086528,6.689099,127.27635,77.66623,109.625336
5.173041,5.4370565,7.5039225,93.92055,90.03583,90.04249
6.351152,6.351934,6.388293,87.833374,88.13097,88.1245
5.630883,7.763221,5.7219067,89.53859,86.78795,89.548584
5.841008,6.9918857,7.0468707,96.26632,74.24069,106.23575
5.8850193,6.0696554,8.465641,89.93206,89.72136,89.9543
5.262621,5.5732303,7.655027,94.59336,89.99991,90.013824
5.030558,5.7498813,5.789598,60.482513,74.37976,73.75431
5.891761,7.4361863,8.32527,103.75733,91.05771,91.582825
6.593715,7.345667,7.9926305,90.80943,93.52879,110.003006
4.2760134,7.900878,8.444921,115.2007,95.04883,92.133125
5.533554,5.879406,6.9784975,76.3103,73.18834,72.54601
3.7158618,3.6549785,7.6028757,104.172066,104.33663,89.986465
3.791689,4.3513947,5.5298405,110.99843,109.36716,90.92372
4.49578,7.3629065,9.973235,98.73279,101.30301,92.605995
4.699526,6.1778765,6.511962,96.63602,100.225525,106.85436
6.334034,6.338712,6.393136,99.46779,98.96779,99.623276
6.303771,6.3514867,6.4003696,100.45016,101.083145,99.81177
7.804406,5.523554,5.3930674,71.1085,106.980415,105.56887
5.449095,5.4622498,7.109446,72.60026,72.6139,72.17776
5.204303,7.5662766,7.739944,80.203804,77.94522,73.53076
5.29698,6.7065105,6.99528,112.07276,109.829124,85.41994
4.637602,4.7067213,6.0068455,68.02753,72.60413,61.15161
5.167998,5.2384295,7.8407435,72.01849,71.10451,80.0753
4.571762,5.743834,8.426967,76.07326,89.60108,84.52624
7.891269,10.069055,7.899454,91.19086,89.999245,89.31967
5.031172,5.1216807,7.737783,83.775696,71.32247,71.05198
5.10027,5.0985956,7.748131,71.24586,108.74524,100.17564
5.4130297,5.753878,9.559522,86.0932,74.45432,118.42311
5.6260166,5.6246576,8.265342,89.94821,90.044876,89.89673
5.723737,5.7332134,8.232386,89.97673,89.95441,88.897514
5.2417316,5.939,6.5067625,75.52026,95.680565,70.38763
5.395417,5.598003,7.727479,108.39463,108.84469,94.12203
5.3920174,6.776813,6.7885785,86.18257,75.73328,75.75191
4.7467985,4.749725,4.7491994,89.62412,89.34259,89.843445
6.555164,6.886999,8.476469,91.52932,90.04318,96.19121
7.340541,7.3883014,7.872295,76.19763,75.10464,79.21042
5.0385084,5.4797688,5.627228,60.901478,87.36408,57.036808
5.242938,5.608352,7.679897,95.30269,90.074554,90.07808
5.6404715,11.241748,9.938071,27.844484,50.350727,55.657692
5.543158,7.039293,10.122405,89.05596,105.77204,94.7528
5.408781,6.4593825,6.9816365,76.718765,89.68564,89.91292
6.393783,6.4341764,6.6081815,99.80219,98.45709,99.607506
4.719153,5.6947203,7.905283,87.35847,88.532036,88.277824
7.393973,9.152389,9.23941,108.32204,97.23686,105.53486
5.939981,6.5006714,6.940092,73.47456,77.852455,71.098175
7.743604,8.000429,10.648335,85.19107,109.69826,118.68423
4.612023,4.6182303,4.6337824,88.501755,89.468704,89.84843
5.861458,5.9064507,5.812076,119.16599,60.473827,120.76672
4.705573,5.633776,7.7632837,86.00599,89.29604,89.147026
5.382614,5.39177,13.374166,90.417015,89.1677,119.07297
6.000252,6.0043416,10.38782,73.283646,73.21563,60.0271
4.92662,7.0554476,7.150156,114.06212,104.07313,102.22579
5.739641,5.7459817,9.436771,97.50525,95.16078,118.4195
5.0882,5.466958,7.4755783,95.672226,90.04824,90.00269
5.028564,5.2654333,7.4447637,108.861275,99.67487,102.50923
4.662841,5.6155376,7.8008213,86.21893,88.686905,88.47852
3.379511,8.019238,8.441769,81.49184,78.54605,77.96323
5.2022586,5.4628596,7.8367286,104.80175,102.88895,103.748344
5.848415,5.7849207,5.8479476,120.325714,89.551865,59.976402
9.5267,3.6389635,5.905147,90.61382,149.8557,89.11367
3.0390043,11.094248,5.0567703,76.92896,92.27977,81.570526
6.221374,6.3315377,6.4375443,100.10703,102.67223,98.724686
5.503479,10.995996,9.743316,27.531786,50.510162,56.180344
5.439897,5.838617,6.9793353,103.190346,103.62794,92.78116
5.474497,5.4965897,10.435283,89.20385,89.3992,60.45502
5.8701406,6.348074,5.873287,117.49296,89.999756,117.65252
5.5310636,5.6885085,7.8604665,89.87341,89.93222,89.92974
8.171544,8.570278,9.985084,89.61958,113.03358,108.553925
3.755022,7.591638,8.877341,95.03394,94.088005,102.73573
5.3418865,5.360223,13.265051,90.58273,88.99692,119.134766
5.4909687,5.542742,5.5494437,89.77763,120.72081,119.41186
4.593612,5.390132,5.373435,101.32334,101.028824,101.001335
5.122934,5.5408344,5.686656,114.91774,115.50562,90.02036
4.852891,5.97111,7.705947,105.297516,90.102844,89.99238
6.1548276,6.2289305,8.750931,90.1936,89.721405,89.94936
3.628018,5.193281,5.8574376,65.727264,88.29246,87.5292
3.650004,5.0721993,8.794358,92.74676,101.57161,92.81175
5.237502,5.5902476,7.6711955,84.81913,89.936676,89.93622
5.170431,5.4362345,10.127108,90.305725,97.373184,104.3231
4.89384,6.7893124,5.1383543,106.96064,113.44575,86.508255
4.75274,5.599104,7.7778463,84.98137,89.13495,87.14415
5.167416,5.2877345,7.255495,107.10389,108.75991,98.38948
5.157636,7.80631,5.36321,82.72137,65.52547,71.91031
4.8613276,5.4500484,5.455518,105.33286,97.343704,97.46138
2.9462097,3.0488617,14.528996,89.918846,88.08411,58.819202
5.755633,5.7834272,5.7544622,60.399666,60.599506,60.037064
5.749596,5.907168,6.3019567,100.49298,100.761444,97.6297
3.9658809,3.9984648,11.072667,79.529335,79.91522,89.90874
7.577203,7.8346505,8.125214,94.50719,93.6038,101.10452
4.15349,4.72067,5.49289,92.61219,90.443985,114.993256
5.9471865,5.999236,8.467358,90.426704,89.48785,89.90837
5.605784,5.6188,7.370121,71.87204,71.90182,71.59611
5.087242,5.1270323,7.633019,83.18407,71.54019,70.74418
5.385255,5.740885,7.2332683,78.61288,74.908875,74.85619
5.637429,5.651707,8.633043,71.51356,71.50871,80.27803
5.9666314,5.9578185,8.459545,89.7117,89.94812,90.68288
6.7672586,7.1250706,9.826855,111.15035,100.55543,90.13701
5.7427144,5.7587576,8.010466,90.1735,90.16204,90.10963
3.03898,7.3744164,7.3898153,87.51746,78.37023,78.19834
6.267451,6.573249,7.5247116,87.24963,88.87849,80.91468
4.981623,5.659174,6.218158,85.71966,68.333115,70.89452
4.4572234,5.0168023,6.7436304,90.00762,88.99907,90.04569
4.794192,5.7488937,7.9076576,84.66725,87.05711,84.78686
5.056347,5.339804,6.4303703,89.72223,89.556854,89.38062
6.486707,7.78823,8.082952,93.40809,106.13207,109.94213
5.780169,6.1185465,6.1622167,98.59381,98.494514,97.57976
5.917213,6.8652987,6.8291755,96.37503,74.57969,105.46718
7.757747,9.763539,9.805304,107.58243,97.02435,105.00433
6.4134245,6.93364,9.255987,110.19962,91.14823,115.86571
6.077195,6.097114,6.085604,119.49612,90.45952,119.69626
5.563752,5.7645698,8.813285,83.07431,73.02048,65.75509
6.02875,6.0339494,8.51936,90.26578,89.72012,89.85383
10.866004,11.730992,5.9984694,66.76513,82.55728,30.466366
6.359865,6.3822985,6.387807,90.94662,90.96466,90.75106
5.01866,5.8920546,6.6035213,103.49888,97.42711,106.84673
4.837792,5.844576,8.112514,87.61952,89.513466,89.592705
5.213685,6.977569,8.634501,99.088104,90.0258,90.62654
6.304372,7.6753097,7.6878777,64.03365,66.56184,66.63608
6.2251673,6.2063985,7.557444,67.036156,65.727196,90.698265
7.062933,7.100194,7.128099,92.59676,91.052864,100.62583
5.746687,5.6632295,9.854437,73.29002,105.36799,119.51406
2.92019,3.2100804,21.848297,89.83193,90.131805,117.075905
5.264705,5.512507,7.8919845,103.60675,104.37367,104.07606
5.287383,5.2963934,5.3094773,89.89145,89.91421,89.96132
5.2415605,5.2007895,13.103117,90.74865,88.81116,117.9177
5.870737,7.330319,12.444767,87.7722,82.73998,78.70294
6.521029,6.7362976,6.7669964,85.136086,72.924286,74.738014
4.127125,5.7846546,9.210809,71.893906,89.43067,89.65033
4.309147,4.3111115,4.313221,89.79987,89.5255,89.92995
5.092741,5.138845,7.637202,103.131676,108.500984,99.86973
5.615039,5.7932796,8.044499,89.978714,89.65385,89.6137
2.8954,5.0685267,7.6731157,107.923904,100.61546,89.75342
5.041663,6.1361423,7.3501806,106.489685,86.64465,109.20141
6.964438,7.542834,10.119513,109.93079,91.125404,115.97433
5.451758,5.5313444,5.668422,90.546814,117.63633,116.23419
7.4048777,8.029373,10.846981,109.59693,90.81411,116.23282
5.175576,7.6341095,5.599153,94.842224,90.26564,90.525826
5.694721,5.993315,6.7500267,107.4426,103.53065,87.84688
5.133037,5.638323,6.538209,89.92954,89.58439,89.96705
4.858116,4.8653545,13.460038,90.17323,89.97266,119.912476
4.732359,7.059714,7.877666,67.34222,75.086655,81.1909
5.617882,5.6174827,7.1107087,73.53312,73.502945,76.08437
4.901262,6.5285,7.096817,113.14487,96.523834,103.844055
5.054441,5.77226,5.9147983,60.858303,74.20783,73.420265
4.251517,6.6095,8.186218,97.8749,89.02291,107.795494
5.3268104,5.6270266,5.2017045,117.73802,58.949436,117.90166
6.988988,8.009858,8.108623,76.658485,78.387764,79.45205
5.798755,6.9366474,7.0320787,80.78059,79.0479,80.8064
5.279701,6.305343,6.905407,107.61089,96.48226,107.23585
5.834888,5.8767815,5.9729447,89.40059,117.56779,106.00198
7.714333,9.686865,9.7963705,107.39894,97.10172,104.80008
10.361009,8.622455,6.076727,133.19046,147.95734,35.386395
5.278615,5.378113,9.045213,74.41648,90.07252,61.20814
5.081466,6.6779766,6.860986,108.635605,105.74208,96.67448
6.314052,7.622459,7.683842,94.186035,113.69549,92.182434
4.7607083,8.054168,5.9208145,106.40013,61.56045,92.507225
4.750859,6.7032347,6.7129564,89.83824,89.71492,89.6879
5.445498,5.4490147,7.098394,72.81664,72.74781,72.28405
5.913884,7.1014447,7.1062036,107.15152,109.093376,101.5157
3.8145409,10.369205,5.5346537,105.43159,89.96574,79.376976
5.440655,5.595911,7.770756,89.88746,89.95951,89.2432
4.750711,5.7056947,7.8968954,86.742485,89.60356,89.52909
5.0440445,5.06223,7.5506983,107.226425,104.00352,100.02902
5.577697,5.605018,7.764071,107.25917,109.94944,89.86168
4.356171,5.168177,9.03767,103.04378,88.30909,105.688416
5.727661,5.769619,5.752963,60.44429,60.1799,89.565125
4.963821,5.6739674,7.536546,74.36151,74.22585,64.76762
2.892428,7.721314,5.095261,76.57419,73.715416,79.3287
5.390459,7.2492867,7.251903,119.9581,90.118,90.04025
5.230157,5.618475,7.6787252,84.3476,89.97481,89.954384
5.499195,5.656961,7.8855133,89.87482,89.76131,89.87755
6.7980065,6.9028873,7.518175,62.88929,105.71845,89.23021
5.021443,5.085318,7.926432,74.94057,73.60722,81.99385
3.750075,5.934176,6.111724,76.77889,88.36961,88.677826
5.989861,5.998954,6.031124,98.69825,99.104004,98.84908
4.4944158,4.497062,4.4981236,89.893036,89.75995,89.94808
6.010632,6.008379,5.9731445,60.201317,60.165302,59.707363
5.524497,5.800794,5.5281205,85.55958,116.60675,85.83967
5.94577,6.0561366,8.822302,72.88849,80.00184,68.154396
4.439023,4.534751,7.1735706,88.84047,89.765366,89.75089
5.2495356,5.3488526,5.1852636,90.23008,119.42559,60.809906
4.737184,4.8721113,5.8449597,88.53242,84.99393,80.95959
5.307475,5.3182206,10.295984,95.55993,94.66061,119.82596
4.8206787,6.739037,5.840982,90.03593,89.39034,90.962906
5.714252,5.7489085,5.778659,89.64908,119.251335,119.39776
5.945623,5.953951,10.315848,73.97259,74.006615,60.68125
5.856572,5.908221,8.548741,69.96989,70.147064,73.47896
3.6940768,8.421251,10.2884245,85.76164,79.668335,77.32308
5.671784,5.819244,7.5447392,104.12939,102.02406,107.20266
5.032412,5.737294,5.8313193,60.657364,106.02603,106.48993
4.962775,6.4453893,6.9920774,110.71938,95.784966,105.69767
5.223178,5.488192,7.5892296,94.067215,90.09769,90.133675
5.2027264,6.1130834,6.1596293,59.95816,90.154045,90.16548
8.068273,8.468753,9.460529,99.36274,108.24239,108.65117
4.912116,5.9323425,8.2557745,87.86923,89.04294,89.06509
5.0512056,5.4983253,5.0405297,118.06657,119.575195,62.62752
7.555326,4.6050987,5.96593,87.40047,88.72254,90.88274
4.689698,5.622893,7.7621274,93.753746,90.00482,90.00102
4.9257326,4.923275,8.575771,72.11536,73.78976,58.692444
4.727443,6.81507,7.880313,91.59908,92.8472,105.302025
5.0844617,5.231914,7.6318502,110.017166,102.809135,97.63338
3.9750063,16.77793,6.9183784,102.16072,89.90691,96.668396
6.017291,6.2387667,8.839655,71.26674,84.61224,85.56689
5.19727,5.3815093,7.494916,92.97707,90.244095,90.02242
4.978178,7.146979,7.925139,113.88104,86.960014,102.45079
6.0196404,7.5157557,8.180907,105.449875,94.58114,112.85498
5.787424,5.8242054,5.903826,119.998024,119.600555,61.21008
6.01625,6.103812,8.5974655,90.089165,89.695885,90.10448
6.512273,6.4926972,6.923275,73.38822,76.37591,104.051796
4.692518,5.6991663,7.8413525,91.466774,90.33303,90.36614
4.24826,4.34091,7.2550917,90.30018,106.056274,118.47459
5.372043,5.4033146,10.279049,94.52254,95.77405,119.773674
5.038595,5.3609977,7.404468,95.53835,90.469635,90.56921
5.129042,6.351256,7.372569,101.74393,89.183495,104.38256
4.648597,6.15622,7.9739766,105.07463,97.14285,105.935196
5.2487187,7.1848574,7.7958875,63.338577,79.223465,84.47168
6.371218,6.4192166,6.4525065,89.83255,89.60939,89.93765
5.563524,5.781698,6.6339602,89.91364,103.13227,108.59465
3.9367063,8.707122,7.836774,63.331432,89.98147,90.07172
5.503217,5.1181045,11.530311,90.04021,89.917274,90.079384
5.817477,5.7514663,8.120809,96.32344,110.44537,108.87018
5.645573,5.6619396,8.039588,89.46093,89.74177,88.83932
5.2576475,5.212199,5.5263715,90.14609,117.46743,119.233604
5.174113,7.3015347,8.134955,90.93953,97.22152,91.967964
4.928065,7.1160703,7.5852094,109.53441,97.98032,110.09589
5.517906,6.2288632,8.070519,95.29923,91.94102,95.98252
4.507185,5.3990335,7.4473033,86.15776,89.46281,89.1256
5.913111,6.067268,8.480647,90.08695,90.544106,89.94841
5.617765,5.570731,5.9241076,89.400116,63.160664,62.085365
5.6773634,5.866121,5.703151,118.59296,60.926826,89.30776
5.149827,5.4275966,7.0890856,106.60495,107.95945,100.195984
5.466324,7.050475,7.0995846,109.76391,107.662254,96.835655
5.958236,6.0108995,8.480604,90.18308,90.27668,90.206566
4.7154517,5.603886,7.47226,74.886536,87.66742,88.36873
5.554103,5.6222663,7.311708,104.09965,103.886795,105.78673
6.48604,6.438575,6.421474,83.24273,83.31143,82.828514
5.867392,5.9334097,10.1743145,106.61679,90.01994,119.6386
5.030693,5.312441,7.349629,93.64262,90.061844,90.035904
6.454785,6.47741,9.690834,71.96098,79.93157,66.851875
5.262245,6.2835126,5.648449,93.706696,91.35139,92.527534
5.272201,5.3677683,10.0550785,95.358795,100.39342,118.9115
4.987259,7.2837405,8.008666,113.65292,87.0096,102.97836
5.3221965,7.7646036,5.651115,94.75778,90.02633,89.9668
3.764327,6.425819,7.707228,67.62006,80.11105,75.398415
5.078101,5.1084,9.008085,76.52114,76.00819,62.189392
3.65804,5.0133324,5.961442,87.2867,84.36885,79.39755
5.2341657,5.6229663,9.250534,85.83162,73.91073,118.287125
5.796924,6.4804645,6.7482543,105.076645,89.986534,116.43071
5.527754,7.1048303,6.768142,96.408394,71.57788,101.85575
5.798063,7.758864,9.257856,113.64211,106.90686,90.18652
5.20824,5.508543,7.640538,94.677055,90.22795,90.008995
5.026757,5.8142824,6.5350842,103.59337,97.58287,107.32698
9.128027,7.3165507,7.312919,75.4895,111.71785,128.61157
6.443909,7.4781027,8.617149,75.426735,68.233444,84.292076
6.111108,6.1706123,8.667199,90.22637,90.425766,89.96346
5.812911,5.955872,6.2254257,99.74573,100.088554,98.835686
6.379966,6.583133,6.5922084,93.22436,106.800964,106.137314
4.048713,5.7226934,14.304885,89.98723,90.033195,110.75517
5.677287,7.43757,8.23473,91.0253,91.142845,98.06769
5.356366,5.4339795,5.8387933,90.84355,115.954346,119.46456
